Token,POS
vriende,NSM
",",ZM
,
Ek,PEENP
wil,VTUOM
weer,BS
van,SVS
hierdie,PA
geleentheid,NSE
gebruik,NA
maak,VTHOG
om,SVS
ons,PEMP
almal,PO
se,UPS
diepe,ASA
meegevoel,NA
te,UPI
betuig,VTHOG
teenoor,SVS
die,LB
Regering,NSE
en,KN
die,LB
mense,NSM
van,SVS
Haiti,NEE
met,SVS
die,LB
enorme,ASA
tragedie,NSE
wat,PB
hulle,PDMP
getref,VVHOG
het,VUOT
.,ZE
,
Ons,PEMP
is,VTHOK
bly,ASP
dat,KO
ons,PEMB
reddingspanne,NSM
hulle,PDMP
kon,VVUOM
gaan,VTUOM
bystaan,VTHSG
.,ZE
,
Ek,PEENP
wil,VTUOM
graag,BS
besondere,ASA
erkenning,NA
verleen,VTHOG
aan,SVS
een,THAB
Suid-Afrikaner,NSE
wat,PB
nooit,BS
huiwer,VTHOO
om,SVS
in,SVS
tye,NSM
van,SVS
nood,NA
en,KN
rampe,NSM
te,UPI
help,VTHOO
nie,UPO
",",ZM
en,KN
ons,PEMP
help,VTHOG
om,SVS
die,LB
visie,NSE
van,SVS
'n,LO
sorgsame,ASA
gemeenskap,NSE
te,UPI
bevorder,VTHOG
.,ZE
,
Ons,PEMP
verwelkom,VTHOG
vandag,BS
dr,RA
Imtiaz,NEE
Sooliman,NEE
van,SVS
Gift,NEE
of,NEE
the,NEE
Givers,NEE
in,SVS
hierdie,PA
huis,NSE
.,ZE
,
Mede-Suid-Afrikaners,NSM
",",ZM
,
Om,SVS
as,KO
gasheerland,NSE
vir,SVS
die,LB
FIFA,RK
Wˆreldbeker,NSE
op,UPW
te,UPI
tree,VTHOO
",",ZM
maak,VTHOO
van,SVS
2010,RS
voorwaar,BS
'n,LO
jaar,NSE
van,SVS
aksie,NSE
.,ZE
,
Ons,PEMP
beplan,VTHOO
reeds,BS
jare,NSM
lank,BS
aan,SVS
hierdie,PA
Wˆreldbeker,NSE
.,ZE
,
Daar,UXD
is,VTHOK
nog,BS
net,BS
drie,THAB
maande,NSM
oor,SVS
voor,SVS
hierdie,PA
geskiedkundige,ASA
gebeurtenis,NSE
plaasvind,VTHSO
.,ZE
,
En,KN
ons,PEMP
is,VTHOK
vasberade,ASP
om,SVS
'n,LO
sukses,NSE
daarvan,PB
te,UPI
maak,VTHOG
.,ZE
,
Die,LB
nodige,ASA
infrastruktuur,NM
",",ZM
sekuriteit,NA
en,KN
logistieke,ASA
re‰lings,NSM
is,VTHOK
alles,PO
gereed,ASP
om,SVS
'n,LO
suksesvolle,ASA
toernooi,NSE
te,UPI
verseker,VTHOG
.,ZE
,
As,KO
'n,LO
nasie,NSE
is,VTHOK
ons,PEMP
groot,ASA
dankbaarheid,NA
verskuldig,ASP
teenoor,SVS
die,LB
2010,RS
Plaaslike,ASA
Re‰lingskomitee,NSE
vir,SVS
hul,PDMB
uitstekende,ASA
poging,NSE
.,ZE
,
Ons,PEMP
wens,VTHOG
die,LB
voorsitter,NSE
van,SVS
die,LB
komitee,NSE
",",ZM
Irvin,NEE
Khoza,NEE
",",ZM
die,LB
Hoof,RWD
Uitvoerende,ASA
Beampte,NSE
",",ZM
Danny,NEE
Jordaan,NEE
",",ZM
en,KN
die,LB
afrigter,NSE
van,SVS
Bafana,NEE
Bafana,NEE
",",ZM
Carlos,NEE
Alberto,NEE
Parreira,NEE
",",ZM
alles,PO
van,SVS
die,LB
beste,AOA
toe,UPW
vir,SVS
die,LB
volgende,ASA
paar,THAO
maande,NSM
.,ZE
,
President,NSE
Mandela,NEE
het,VUOT
'n,LO
sentrale,ASA
rol,NSE
gespeel,VVHOG
om,SVS
die,LB
land,NSE
te,UPI
help,VTHOG
om,SVS
die,LB
gasheerregte,NSM
vir,SVS
hierdie,PA
groot,ASA
geleentheid,NSE
te,UPI
wen,VTHOG
.,ZE
,
Ons,PEMP
moet,VTUOM
dus,BS
tot,SVS
sy,PDHEB
eer,NA
'n,LO
sukses,NSE
van,SVS
die,LB
Wˆreldbeker,NSE
maak,VTHOG
.,ZE
,
Landsgenote,NSM
",",ZM
kom,VTUOA
ons,PEMP
skaar,VTHOG
ons,PEMW
ook,BS
agter,SVS
ons,PEMB
nasionale,ASA
span,NSE
",",ZM
die,LB
Bafana,NEE
Bafana,NEE
.,ZE
,
Die,LB
belangrikste,NA
is,VTHOK
",",ZM
wees,VTHOK
in,SVS
besit,NA
van,SVS
julle,PTMB
kaartjies,NSM
",",ZM
landsgenote,NSM
!,ZE
,
Kom,VTUOA
ons,PEMP
koop,VTHOG
almal,PO
betyds,BS
kaartjies,NSM
sodat,KO
ons,PEMP
die,LB
wedstryde,NSM
kan,VTUOM
bywoon,VTHSG
.,ZE
,
Mede-Suid-Afrikaners,NSM
",",ZM
,
Wanneer,PB
ons,PEMP
vandag,BS
Madiba,NEE
se,UPS
vrylating,NA
gedenk,VTHOG
",",ZM
herverbind,VTHOG
ons,PEMP
onsself,PEMW
tot,SVS
versoening,NA
",",ZM
nasionale,ASA
eenheid,NA
",",ZM
nie-rassigheid,NA
en,KN
om,SVS
'n,LO
beter,AVA
toekoms,NA
vir,SVS
ons,PEMP
as,KO
Suid-Afrikaners,NSM
",",ZM
swart,ASA
en,KN
wit,ASA
",",ZM
te,UPI
bou,VTHOG
.,ZE
,
Ons,PEMP
word,VTUOP
gelei,VVHOG
deur,SVS
d¡t,PA
wat,PB
Madiba,NEE
in,SVS
die,LB
beskuldigdebank,NSE
gesˆ,VVHOG
het,VUOT
",",ZM
en,KN
ek,PEENP
haal,VTHOG
aan,UPW
:,ZM
,
Gedurende,SVS
my,PEEB
lewe,NSE
het,VUOT
ek,PEENP
myself,PEEW
toegewy,VVHOG
aan,SVS
hierdie,PA
vryheidstryd,NA
van,SVS
die,LB
mense,NSM
van,SVS
Afrika,NEE
.,ZE
,
Ek,PEENP
het,VUOT
gestry,VVHOO
teen,SVS
blanke,ASA
oorheersing,NA
en,KN
ek,PEENP
het,VUOT
gestry,VVHOO
teen,SVS
swart,ASA
oorheersing,NA
.,ZE
,
Ek,PEENP
het,VUOT
die,LB
ideaal,NSE
gekoester,VVHOG
van,SVS
'n,LO
demokratiese,ASA
en,KN
vrye,ASA
samelewing,NSE
",",ZM
waarin,PB
almal,PO
in,SVS
harmonie,NA
saamleef,VTHSO
met,SVS
gelyke,ASA
geleenthede,NSM
.,ZE
,
Dit,PDOENP
is,VTHOK
'n,LO
ideaal,NSE
waarvoor,PB
ek,PEENP
hoop,VTHOG
om,SVS
te,UPI
lewe,VTHOO
en,KN
te,UPI
bereik,VTHOO
.,ZE
,
Maar,KN
",",ZM
as,KO
dit,PDOENP
nodig,ASP
sou,VVUOM
wees,VTHOK
",",ZM
is,VTHOK
dit,PDOENP
'n,LO
ideaal,NSE
waarvoor,PB
ek,PEENP
bereid,ASP
is,VTHOK
om,SVS
te,UPI
sterf,VTHOO
.,ZE
,
Besiel,VTHOG
deur,SVS
ons,PEMB
ikoon,NSE
Madiba,NEE
",",ZM
is,VTHOK
dit,PDOENP
nou,BS
vir,SVS
my,PEEDP
'n,LO
eer,NA
om,SVS
hierdie,PA
2010-Staatsrede,NSE
aan,SVS
al,THAO
ons,PEMB
helde,NSM
en,KN
heldinne,NSM
",",ZM
besonge,ASP
en,KN
onbesonge,ASP
",",ZM
bekend,ASP
en,KN
onbekend,ASP
",",ZM
op,UPW
te,UPI
dra,VTHOG
.,ZE
,
Kom,VTUOA
ons,PEMP
werk,VTHOO
saam,UPW
om,SVS
hierdie,PA
jaar,NSE
van,SVS
aksie,NSE
'n,LO
suksesvolle,ASA
jaar,NSE
vir,SVS
ons,PEMB
land,NSE
te,UPI
maak,VTHOG
.,ZE
,
